model_key,relation_key,n_total,n_train,n_test,core_q,thr_train_delta,delta_mean_test,delta_mean_test_core,delta_mean_test_periphery,core_frac_test,gap_core_minus_periphery,gap_core_minus_all,pos_share_core
mistral_7b_instruct,person_university,91,68,23,0.3,0.6083024740219116,0.5620396137237549,0.6481544002890587,0.5161117275555929,0.34782608695652173,0.13204267273346582,0.0861147865653038,0.40111942875791956
mistral_7b_instruct,pokemon_evolutions,44,33,11,0.3,0.5589820861816406,0.5225355950268832,0.5707498788833618,0.5118213097254435,0.18181818181818182,0.05892856915791833,0.048214283856478635,0.1985945191852078
mistral_7b_instruct,product_by_company,522,391,131,0.3,0.6983888149261475,0.6057104635557146,0.7237156796455383,0.5328677375743418,0.3816793893129771,0.19084794207119649,0.11800521608982373,0.45603861128928186
mistral_7b_instruct,star_constellation,362,271,91,0.3,0.5958039164543152,0.5752062525723006,0.6251874229182368,0.5583008567199987,0.25274725274725274,0.06688656619823807,0.04998117034593619,0.27470912022963023
mistral_7b_instruct,substance_phase,50,37,13,0.3,0.7692144632339477,0.751588931450477,0.7863566875457764,0.7361365954081217,0.3076923076923077,0.05022009213765466,0.03476775609529936,0.32192584767486243
mistral_7b_instruct,superhero_archnemesis,96,72,24,0.3,0.4999773681163788,0.45026057337721187,0.5304387360811234,0.4342249408364296,0.16666666666666666,0.09621379524469376,0.08017816270391148,0.1963450971299165
mistral_7b_instruct,superhero_person,100,75,25,0.3,0.5932732939720153,0.5346372234821319,0.6105008840560913,0.5156713083386422,0.2,0.0948295757174491,0.07586366057395932,0.2283794907058112
mistral_7b_instruct,task_done_by_person,32,24,8,0.3,0.639314067363739,0.596005130559206,0.6458974182605743,0.5793743679920832,0.25,0.06652305026849115,0.04989228770136833,0.27092779287594243
mistral_7b_instruct,task_done_by_tool,52,39,13,0.3,0.6196027636528015,0.5184421539306641,,0.5184421539306641,0.0,,,0.0
mistral_7b_instruct,verb_past_tense,76,57,19,0.3,0.6980383396148682,0.6854528157334578,0.7013037289891925,0.6762064496676127,0.3684210526315789,0.02509727932157979,0.015850913255734622,0.37694069105570704
mistral_7b_instruct,word_first_letter,241,180,61,0.3,0.6734109818935394,0.6475732595217033,0.695924523472786,0.623987277106541,0.32786885245901637,0.07193724636624499,0.04835126395108269,0.3523492848942491
